id=1, plug=GREEN STAR, leftSocket=RED SQUARE, rightSocket=WHITE TRIANGLE, data=-------------------3-
id=50, plug=GREEN SQUARE, leftSocket=WHITE TRIANGLE, rightSocket=GREEN DIAMOND, data=----1------3--------1
id=51, plug=BLACK TRIANGLE, leftSocket=WHITE SQUARE, rightSocket=MAGENTA HEXAGON, data=-----------------2---
id=52, plug=MAGENTA SQUARE, leftSocket=MAGENTA STAR, rightSocket=YELLOW TRIANGLE, data=---1------3----------
id=53, plug=BLACK DIAMOND, leftSocket=CYAN OCTAGON, rightSocket=GREEN OCTAGON, data=------1------3-------
id=54, plug=BLUE CIRCLE, leftSocket=BLACK TRIANGLE, rightSocket=BLACK PENTAGON, data=--1-1----3-3--------1
id=55, plug=BLUE STAR, leftSocket=MAGENTA PENTAGON, rightSocket=MAGENTA STAR, data=---------------------
id=56, plug=CYAN CIRCLE, leftSocket=BLACK TRIANGLE, rightSocket=BLACK PENTAGON, data=----1------3---------
id=57, plug=MAGENTA TRIANGLE, leftSocket=RED SQUARE, rightSocket=RED HEXAGON, data=---------------------
id=58, plug=RED OCTAGON, leftSocket=BLACK PENTAGON, rightSocket=YELLOW TRIANGLE, data=------1------3-------
id=59, plug=RED SQUARE, leftSocket=WHITE SQUARE, rightSocket=GREEN DIAMOND, data=-------1------3------
id=60, plug=CYAN CIRCLE, leftSocket=WHITE STAR, rightSocket=RED HEXAGON, data=-1------3------------
id=61, plug=WHITE HEXAGON, leftSocket=WHITE CIRCLE, rightSocket=MAGENTA TRIANGLE, data=-----1------3--------
id=62, plug=GREEN DIAMOND, leftSocket=RED TRIANGLE, rightSocket=WHITE PENTAGON, data=-------1------3------
id=63, plug=BLACK TRIANGLE, leftSocket=YELLOW SQUARE, rightSocket=CYAN CIRCLE, data=-----------------2---
id=64, plug=BLUE HEXAGON, leftSocket=BLACK DIAMOND, rightSocket=GREEN SQUARE, data=---1------3-------2--
id=65, plug=GREEN STAR, leftSocket=WHITE DIAMOND, rightSocket=BLACK PENTAGON, data=---------------------
id=66, plug=BLUE DIAMOND, leftSocket=WHITE OCTAGON, rightSocket=BLACK SQUARE, data=---1-1----3-3-------1
id=67, plug=WHITE PENTAGON, leftSocket=YELLOW OCTAGON, rightSocket=RED SQUARE, data=--1-1----3-3----3---1
id=68, plug=GREEN STAR, leftSocket=GREEN TRIANGLE, rightSocket=MAGENTA CIRCLE, data=---1------3--------1-
id=69, plug=CYAN DIAMOND, leftSocket=WHITE OCTAGON, rightSocket=WHITE HEXAGON, data=-----1------3--------
id=70, plug=GREEN PENTAGON, leftSocket=GREEN OCTAGON, rightSocket=MAGENTA HEXAGON, data=----1-1----3-3------1
id=71, plug=WHITE STAR, leftSocket=GREEN CIRCLE, rightSocket=CYAN OCTAGON, data=----1------3-------1-
id=72, plug=YELLOW DIAMOND, leftSocket=BLUE STAR, rightSocket=RED HEXAGON, data=-----1------3-------1
id=73, plug=GREEN TRIANGLE, leftSocket=GREEN DIAMOND, rightSocket=WHITE DIAMOND, data=----1------3------2--
id=74, plug=CYAN SQUARE, leftSocket=RED CIRCLE, rightSocket=BLACK OCTAGON, data=-----1------3-------1
id=75, plug=BLACK HEXAGON, leftSocket=BLUE HEXAGON, rightSocket=BLUE DIAMOND, data=--1------3-----------
id=76, plug=RED PENTAGON, leftSocket=YELLOW TRIANGLE, rightSocket=GREEN OCTAGON, data=----1------3-------1-
id=77, plug=BLUE HEXAGON, leftSocket=GREEN DIAMOND, rightSocket=WHITE OCTAGON, data=-----1------3--------
id=78, plug=YELLOW HEXAGON, leftSocket=BLUE OCTAGON, rightSocket=BLACK DIAMOND, data=--1------3-----------
id=79, plug=MAGENTA TRIANGLE, leftSocket=YELLOW DIAMOND, rightSocket=BLUE TRIANGLE, data=----1------3------2--
id=80, plug=YELLOW SQUARE, leftSocket=WHITE OCTAGON, rightSocket=WHITE PENTAGON, data=-----------------2---
id=81, plug=BLUE SQUARE, leftSocket=BLUE OCTAGON, rightSocket=YELLOW SQUARE, data=--1------3-----------
id=82, plug=BLACK STAR, leftSocket=BLACK PENTAGON, rightSocket=WHITE OCTAGON, data=--1-1----3-3----3---1
id=83, plug=CYAN HEXAGON, leftSocket=BLUE PENTAGON, rightSocket=MAGENTA STAR, data=-----1------3-------1
id=84, plug=WHITE STAR, leftSocket=BLACK STAR, rightSocket=YELLOW PENTAGON, data=--1------3-----------
id=85, plug=MAGENTA STAR, leftSocket=CYAN PENTAGON, rightSocket=WHITE STAR, data=---1------3---------1
id=86, plug=MAGENTA DIAMOND, leftSocket=BLACK STAR, rightSocket=CYAN PENTAGON, data=-----------------2---
id=87, plug=RED STAR, leftSocket=RED SQUARE, rightSocket=BLACK HEXAGON, data=-1-1----3-3-----3---1
id=88, plug=BLUE STAR, leftSocket=RED STAR, rightSocket=BLACK OCTAGON, data=----1------3---------
id=89, plug=BLUE STAR, leftSocket=YELLOW TRIANGLE, rightSocket=CYAN TRIANGLE, data=---------------------
id=90, plug=MAGENTA DIAMOND, leftSocket=YELLOW SQUARE, rightSocket=WHITE OCTAGON, data=----1------3---------
id=91, plug=BLACK STAR, leftSocket=BLACK CIRCLE, rightSocket=BLACK CIRCLE, data=-1-1----3-3-----3---1
id=92, plug=WHITE OCTAGON, leftSocket=RED CIRCLE, rightSocket=RED CIRCLE, data=----1------3---------
id=93, plug=BLACK HEXAGON, leftSocket=BLUE OCTAGON, rightSocket=BLACK DIAMOND, data=-----------------2---
id=94, plug=YELLOW SQUARE, leftSocket=GREEN CIRCLE, rightSocket=BLACK PENTAGON, data=-1------3------------
id=95, plug=CYAN PENTAGON, leftSocket=RED SQUARE, rightSocket=BLUE HEXAGON, data=---------------------
id=96, plug=CYAN DIAMOND, leftSocket=CYAN CIRCLE, rightSocket=RED PENTAGON, data=---1------3-------2--
id=97, plug=WHITE STAR, leftSocket=WHITE HEXAGON, rightSocket=CYAN SQUARE, data=---1------3----------
id=98, plug=BLACK OCTAGON, leftSocket=BLUE SQUARE, rightSocket=WHITE OCTAGON, data=-1------3------------
id=99, plug=YELLOW DIAMOND, leftSocket=WHITE SQUARE, rightSocket=CYAN PENTAGON, data=----1------3--------1
id=100, plug=BLUE CIRCLE, leftSocket=RED PENTAGON, rightSocket=CYAN STAR, data=---------------------
id=101, plug=MAGENTA PENTAGON, leftSocket=GREEN CIRCLE, rightSocket=RED CIRCLE, data=----1------3---------
id=102, plug=YELLOW DIAMOND, leftSocket=WHITE HEXAGON, rightSocket=YELLOW SQUARE, data=----1------3--------1
id=103, plug=BLUE PENTAGON, leftSocket=BLUE OCTAGON, rightSocket=WHITE HEXAGON, data=-1------3------------
id=104, plug=BLUE TRIANGLE, leftSocket=WHITE OCTAGON, rightSocket=BLACK PENTAGON, data=----1------3---------
id=105, plug=WHITE TRIANGLE, leftSocket=GREEN PENTAGON, rightSocket=CYAN DIAMOND, data=---------------------
id=106, plug=RED TRIANGLE, leftSocket=WHITE HEXAGON, rightSocket=GREEN OCTAGON, data=-----1------3--------
id=107, plug=RED CIRCLE, leftSocket=CYAN OCTAGON, rightSocket=GREEN CIRCLE, data=---------------------
id=108, plug=CYAN DIAMOND, leftSocket=CYAN OCTAGON, rightSocket=BLUE PENTAGON, data=---1-1----3-3-------1
id=109, plug=BLUE OCTAGON, leftSocket=BLUE DIAMOND, rightSocket=WHITE CIRCLE, data=-------1------3------
id=110, plug=YELLOW CIRCLE, leftSocket=BLACK TRIANGLE, rightSocket=YELLOW HEXAGON, data=------1------3-------
id=111, plug=WHITE SQUARE, leftSocket=CYAN HEXAGON, rightSocket=MAGENTA CIRCLE, data=-----1------3--------
id=112, plug=WHITE OCTAGON, leftSocket=BLACK PENTAGON, rightSocket=CYAN SQUARE, data=-----1------3-------1
id=113, plug=GREEN TRIANGLE, leftSocket=CYAN CIRCLE, rightSocket=CYAN OCTAGON, data=----1-1----3-3------1
id=114, plug=BLACK OCTAGON, leftSocket=MAGENTA TRIANGLE, rightSocket=RED TRIANGLE, data=----1------3-------1-
id=115, plug=WHITE DIAMOND, leftSocket=CYAN DIAMOND, rightSocket=BLUE STAR, data=-------1------3------
id=116, plug=CYAN DIAMOND, leftSocket=BLUE PENTAGON, rightSocket=MAGENTA PENTAGON, data=-----1------3-------1
id=117, plug=BLUE HEXAGON, leftSocket=MAGENTA SQUARE, rightSocket=YELLOW SQUARE, data=----1------3-------1-
id=118, plug=CYAN SQUARE, leftSocket=BLUE HEXAGON, rightSocket=BLACK PENTAGON, data=-----------------2---
id=119, plug=GREEN TRIANGLE, leftSocket=YELLOW STAR, rightSocket=BLACK PENTAGON, data=----1------3------2--
id=120, plug=WHITE OCTAGON, leftSocket=BLACK DIAMOND, rightSocket=YELLOW SQUARE, data=---------------------
id=121, plug=BLACK HEXAGON, leftSocket=RED SQUARE, rightSocket=GREEN TRIANGLE, data=----1------3---------
id=122, plug=BLACK HEXAGON, leftSocket=RED STAR, rightSocket=MAGENTA STAR, data=----1------3------2--
id=123, plug=BLACK CIRCLE, leftSocket=RED DIAMOND, rightSocket=BLUE TRIANGLE, data=--1------3-----------
id=124, plug=BLUE CIRCLE, leftSocket=GREEN CIRCLE, rightSocket=MAGENTA SQUARE, data=--1-1----3-3----3---1
id=125, plug=WHITE CIRCLE, leftSocket=GREEN PENTAGON, rightSocket=YELLOW TRIANGLE, data=--1------3-----------
id=126, plug=BLACK TRIANGLE, leftSocket=BLUE DIAMOND, rightSocket=BLUE TRIANGLE, data=-----1------3-------1
id=127, plug=BLACK TRIANGLE, leftSocket=GREEN CIRCLE, rightSocket=RED DIAMOND, data=--1-1----3-3----3---1
id=128, plug=YELLOW CIRCLE, leftSocket=WHITE STAR, rightSocket=RED CIRCLE, data=--1------3-----------
id=129, plug=WHITE PENTAGON, leftSocket=CYAN OCTAGON, rightSocket=RED TRIANGLE, data=-----1------3--------
id=130, plug=WHITE TRIANGLE, leftSocket=CYAN DIAMOND, rightSocket=MAGENTA CIRCLE, data=--1------3-----------
id=131, plug=RED STAR, leftSocket=BLUE OCTAGON, rightSocket=MAGENTA STAR, data=----1------3---------
