id=1, plug=MAGENTA HEXAGON, leftSocket=WHITE TRIANGLE, rightSocket=BLACK TRIANGLE, data=1--------------------
id=71, plug=MAGENTA SQUARE, leftSocket=YELLOW SQUARE, rightSocket=YELLOW CIRCLE, data=1--33-----22---------
id=72, plug=RED TRIANGLE, leftSocket=MAGENTA SQUARE, rightSocket=WHITE PENTAGON, data=---------------------
id=73, plug=RED OCTAGON, leftSocket=MAGENTA OCTAGON, rightSocket=MAGENTA HEXAGON, data=-1-----------------1-
id=74, plug=CYAN HEXAGON, leftSocket=WHITE TRIANGLE, rightSocket=CYAN STAR, data=------3-3----2-2-----
id=75, plug=CYAN OCTAGON, leftSocket=BLACK DIAMOND, rightSocket=YELLOW CIRCLE, data=--------------------1
id=76, plug=YELLOW STAR, leftSocket=WHITE CIRCLE, rightSocket=CYAN TRIANGLE, data=--------------------1
id=77, plug=CYAN STAR, leftSocket=CYAN STAR, rightSocket=RED STAR, data=---------------------
id=78, plug=RED CIRCLE, leftSocket=BLACK DIAMOND, rightSocket=BLUE SQUARE, data=1---3-3----2-2-------
id=79, plug=RED STAR, leftSocket=WHITE STAR, rightSocket=YELLOW HEXAGON, data=---33-----22---------
id=80, plug=YELLOW PENTAGON, leftSocket=BLACK PENTAGON, rightSocket=BLACK PENTAGON, data=1--------------------
id=81, plug=WHITE SQUARE, leftSocket=CYAN OCTAGON, rightSocket=CYAN DIAMOND, data=1--------------------
id=82, plug=BLUE SQUARE, leftSocket=BLUE STAR, rightSocket=MAGENTA STAR, data=---------------------
id=83, plug=BLACK HEXAGON, leftSocket=GREEN OCTAGON, rightSocket=BLACK HEXAGON, data=--------------------1
id=84, plug=CYAN STAR, leftSocket=BLACK OCTAGON, rightSocket=BLUE SQUARE, data=1--------------------
id=85, plug=WHITE SQUARE, leftSocket=YELLOW OCTAGON, rightSocket=RED HEXAGON, data=-----3------2--------
id=86, plug=CYAN HEXAGON, leftSocket=RED CIRCLE, rightSocket=BLUE PENTAGON, data=---------------------
id=87, plug=RED SQUARE, leftSocket=GREEN OCTAGON, rightSocket=GREEN DIAMOND, data=-----3-3----2-2-----1
id=88, plug=MAGENTA OCTAGON, leftSocket=GREEN HEXAGON, rightSocket=CYAN PENTAGON, data=1------3------2------
id=89, plug=YELLOW STAR, leftSocket=WHITE OCTAGON, rightSocket=BLUE STAR, data=1------3------2------
id=90, plug=WHITE TRIANGLE, leftSocket=CYAN PENTAGON, rightSocket=BLACK CIRCLE, data=-----3------2-------1
id=91, plug=CYAN SQUARE, leftSocket=BLACK OCTAGON, rightSocket=YELLOW TRIANGLE, data=-----3-3----2-2------
id=92, plug=BLUE OCTAGON, leftSocket=CYAN CIRCLE, rightSocket=WHITE CIRCLE, data=--------------------1
id=93, plug=RED CIRCLE, leftSocket=YELLOW DIAMOND, rightSocket=RED HEXAGON, data=--------------------1
id=94, plug=MAGENTA CIRCLE, leftSocket=BLUE PENTAGON, rightSocket=RED HEXAGON, data=1----3-3----2-2------
id=95, plug=CYAN CIRCLE, leftSocket=BLACK CIRCLE, rightSocket=YELLOW HEXAGON, data=---------------------
id=96, plug=YELLOW OCTAGON, leftSocket=CYAN OCTAGON, rightSocket=BLACK CIRCLE, data=---------------------
id=97, plug=YELLOW TRIANGLE, leftSocket=WHITE OCTAGON, rightSocket=BLACK OCTAGON, data=---------------------
id=98, plug=BLACK OCTAGON, leftSocket=RED TRIANGLE, rightSocket=WHITE DIAMOND, data=-----3------2--------
id=99, plug=YELLOW SQUARE, leftSocket=BLACK OCTAGON, rightSocket=BLUE STAR, data=----3------2--------1
id=100, plug=CYAN OCTAGON, leftSocket=CYAN CIRCLE, rightSocket=RED TRIANGLE, data=--------------------1
id=101, plug=BLACK PENTAGON, leftSocket=BLUE CIRCLE, rightSocket=BLACK OCTAGON, data=------3-3----2-2-----
id=102, plug=BLACK DIAMOND, leftSocket=BLACK PENTAGON, rightSocket=BLACK DIAMOND, data=------3-3----2-2----1
id=103, plug=YELLOW HEXAGON, leftSocket=BLACK OCTAGON, rightSocket=BLUE PENTAGON, data=----3------2--------1
id=104, plug=BLUE STAR, leftSocket=RED DIAMOND, rightSocket=WHITE PENTAGON, data=-----3------2-------1
id=105, plug=YELLOW CIRCLE, leftSocket=WHITE STAR, rightSocket=YELLOW PENTAGON, data=1--------------------
id=106, plug=BLACK TRIANGLE, leftSocket=WHITE PENTAGON, rightSocket=BLACK TRIANGLE, data=------3-3----2-2-----
id=107, plug=BLUE TRIANGLE, leftSocket=RED PENTAGON, rightSocket=CYAN DIAMOND, data=1--------------------
id=108, plug=YELLOW PENTAGON, leftSocket=BLACK SQUARE, rightSocket=CYAN TRIANGLE, data=1--------------------
id=109, plug=CYAN TRIANGLE, leftSocket=BLACK TRIANGLE, rightSocket=MAGENTA HEXAGON, data=1-----3-3----2-2-----
id=110, plug=RED OCTAGON, leftSocket=BLUE OCTAGON, rightSocket=WHITE OCTAGON, data=--------------------1
id=111, plug=WHITE TRIANGLE, leftSocket=GREEN CIRCLE, rightSocket=RED OCTAGON, data=--------------------1
id=112, plug=BLACK CIRCLE, leftSocket=BLACK DIAMOND, rightSocket=BLUE DIAMOND, data=------3--3---2--2---1
id=113, plug=BLACK TRIANGLE, leftSocket=BLUE STAR, rightSocket=BLACK CIRCLE, data=1------3------2------
id=114, plug=RED OCTAGON, leftSocket=YELLOW HEXAGON, rightSocket=BLUE CIRCLE, data=--------------------1
id=115, plug=CYAN PENTAGON, leftSocket=YELLOW STAR, rightSocket=CYAN STAR, data=---------------------
id=116, plug=WHITE PENTAGON, leftSocket=BLACK TRIANGLE, rightSocket=WHITE STAR, data=---------------------
id=117, plug=BLACK OCTAGON, leftSocket=CYAN TRIANGLE, rightSocket=RED HEXAGON, data=-----3------2--------
id=118, plug=RED STAR, leftSocket=WHITE TRIANGLE, rightSocket=YELLOW CIRCLE, data=-----3------2-------1
id=119, plug=YELLOW TRIANGLE, leftSocket=BLACK CIRCLE, rightSocket=BLACK CIRCLE, data=----3------2--------1
id=120, plug=BLUE DIAMOND, leftSocket=WHITE SQUARE, rightSocket=RED PENTAGON, data=---------------------
id=121, plug=GREEN DIAMOND, leftSocket=RED HEXAGON, rightSocket=RED DIAMOND, data=------3--3---2--2----
id=122, plug=BLACK HEXAGON, leftSocket=WHITE STAR, rightSocket=BLACK OCTAGON, data=---------------------
id=123, plug=WHITE HEXAGON, leftSocket=WHITE DIAMOND, rightSocket=MAGENTA HEXAGON, data=1--------------------
